"","colnames.nrsa_strmcat1."
"336","WsAreaSqKmRp100"
"337","HydrlCondWs"
"338","OMHWs"
"339","DamDensWs"
"340","DamNIDStorWs"
"341","DamNrmStorWs"
"342","NABD_DensWs"
"343","NABD_NIDStorWs"
"344","NABD_NrmStorWs"
"345","MineDensWs"
"346","MineDensWsRp100"
"347","AgKffactWs"
"348","FertWs"
"349","ManureWs"
"350","NPDESDensWs"
"351","NPDESDensWsRp100"
"352","SuperfundDensWs"
"353","HUDen2010Ws"
"354","HUDen2010WsRp100"
"355","PopDen2010Ws"
"356","PopDen2010WsRp100"
"357","PctOw2013Ws"
"358","PctIce2013Ws"
"359","PctUrbOp2013Ws"
"360","PctUrbLo2013Ws"
"361","PctUrbMd2013Ws"
"362","PctUrbHi2013Ws"
"363","PctDecid2013Ws"
"364","PctConif2013Ws"
"365","PctMxFst2013Ws"
"366","PctShrb2013Ws"
"367","PctGrs2013Ws"
"368","PctHay2013Ws"
"369","PctCrop2013Ws"
"370","PctWdWet2013Ws"
"371","PctHbWet2013Ws"
"372","PctOw2013_WsRp100"
"373","PctIce2013_WsRp100"
"374","PctUrbOp2013_WsRp100"
"375","PctUrbLo2013_WsRp100"
"376","PctUrbMd2013_WsRp100"
"377","PctUrbHi2013_WsRp100"
"378","PctDecid2013_WsRp100"
"379","PctConif2013_WsRp100"
"380","PctMxFst2013_WsRp100"
"381","PctShrb2013_WsRp100"
"382","PctGrs2013_WsRp100"
"383","PctHay2013_WsRp100"
"384","PctCrop2013_WsRp100"
"385","PctWdWet2013_WsRp100"
"386","PctHbWet2013_WsRp100"
"387","PctFrstLoss2013Ws"
"388","PctFrstLoss2013WsRp100"
"389","PctImp2013Ws"
"390","PctImp2013_RipBuf100WsRp100"
"391","PctNOT_PRINCIPLEWs"
"392","PctSANDSTONEWs"
"393","PctSEMICONSOL_SANDWs"
"394","PctVOLCANICWs"
"395","PctSANDSTONE_CARBONATEWs"
"396","PctUNCONSOL_SAND_GRAVELWs"
"397","PctCARBONATEWs"
"398","ClayWs"
"399","PctCarbResidWs"
"400","PctNonCarbResidWs"
"401","PctAlkIntruVolWs"
