"","SITE_ID","VISIT_NO","MMI_BENT","OE_SCORE"
"65","NDLS-1055",1,58.57,1.054192268
"66","COS9-0934",1,36.85,0.945336196
"67","CAR9-0902",1,30.9,0.630797325
"68","TXS9-0936",1,43.6,1.121429958
"69","MNS9-0934",1,13.28,0.485788783
"70","MNSS-1175",1,16.7,0.781778393
"71","COR9-0903",1,15.98,0.845234819
"72","COS9-0926",1,39.32,0.944996151
"73","COS9-0929",1,7.75,0.557819146
"74","VTRS-1007",1,79.12,1.058963241
"75","MDRO-1018",1,34.98,0.994825542
"76","MORF-0009",1,28.83,0.654192228
"77","GAS9-0922",1,31.98,0.840819464
"78","NDR9-0907",1,56.2,1.296363268
"79","OKR9-0901",2,13.52,0.130334782
"80","MNR9-0912",1,30.47,0.674747319
"81","MIRF-0004",1,56.08,0.890315273
"82","MDRO-1015",1,39.78,0.842427894
"83","KYS9-0919",1,15,0.466622719
"84","KSR9-0904",1,37.4,0.869612215
"85","OKR9-0905",1,28.15,0.703455461
"86","MORF-0004",1,25.68,1.039977628
"87","OHS9-0919",1,0,0.143295943
"88","ALSS-1063",1,20.03,0.770644633
"89","MIRF-0003",1,47.33,0.9677504
"90","OHS9-0914",1,19.6,0.678386607
"91","SDSS-1190",1,20,0.436446295
"92","NHR9-0903",1,7.22,0.667831206
"93","CTSS-1077",1,10.87,0.400696
"94","OHLS-1071",1,2.82,0.112520589
"95","COS9-0924",1,25.87,0.998519258
"96","GAS9-0919",1,62.97,1.098154027
"97","NDSS-1106",1,39.1,1.433829823
"98","UTRF-0004",1,70.1,1.097050622
"99","OHSS-1125",1,36.37,0.886133425
"100","OHRO-1031",1,8.32,0.587057334
"101","MIRF-0002",1,66.33,1.238664776
"102","MORF-0005",1,24.6,0.694175208
"103","MIS9-0923",1,20.1,1.109431044
"104","MISS-1136",1,22.92,1.119381186
"105","TXS9-0926",2,19.47,0.637870198
"106","MDRO-1014",1,22.95,0.837619642
"107","ALS9-0918",1,32.52,0.740671585
"108","ALSS-1064",1,28.65,0.936441757
"109","MNS9-0929",1,13.98,0.970358976
"110","NVS9-0921",1,36.6,0.546810489
"111","NVR9-0920",1,70.22,0.783825144
"112","OHS9-0922",1,34.05,0.854716276
"113","WASS-1140",1,9,0.129028801
"114","COS9-0925",1,54.15,0.534358796
"115","MIRF-0005",1,36,0.907467517
"116","WAS9-0919",1,14.37,0.496590617
"117","OHR9-0907",1,42.53,0.196470684
"118","OHRO-1035",1,19.02,0.842873468
"119","COS9-0922",1,45.67,0.979916372
"120","OHS9-0915",1,19.45,0.478432741
"121","OHRM-1001",1,44.53,0.969920014
"122","PAR9-0910",1,14.38,0.707658689
"123","NDS9-0938",1,35.48,1.026261762
"124","KSRS-1269",1,26.08,1.128110937
"125","VTRF-0002",1,69.05,0.890434794
"126","VTRS-1004",1,69.8,0.858329829
"127","ARS9-0946",1,14.23,0.504109111
"128","ALS9-0916",1,5.7,0.17996344
"129","OHRO-1036",1,17.77,0.79887206
"130","DESS-1085",1,21.72,0.520319155
"131","KSRF-0004",1,28.53,0.874949507
"132","MNSS-1169",1,23.78,0.598696507
"133","COS9-0920",1,33.18,0.889184808
"134","TXS9-0928",2,22.45,1.221389483
"135","OKR9-0913",1,17.73,0.243152003
"136","MTS9-0934",1,23,0.82861703
"137","UTRO-1035",1,2.58,0.664436837
"138","NVSS-1104",1,60.2,0.593132456
"139","KYS9-0924",1,18.08,0.437333931
"140","KSRS-1336",1,35.92,1.163468796
"141","ARRM-1004",1,22.3,0.521906988
"142","NDR9-0910",1,39.68,0.990840193
"143","WIRF-0008",1,60.75,1.143957928
"144","OKS9-0939",1,58.58,0.710599704
"145","SDS9-0938",1,52.07,1.099764459
"146","ALR9-0904",1,41,0.793601138
"147","KSRF-0002",1,55.3,1.293435017
"148","WALS-1070",1,52.65,0.699532216
"149","PARM-1002",1,44.15,0.991530915
"150","UTSS-1107",1,19.98,0.922181665
"151","OHSS-1124",1,13.8,0.72245485
"152","MTS9-0941",1,85.98,1.092611768
"153","NDSS-1105",1,16.78,0.552117993
"154","MDR9-0905",1,61.28,1.098586084
"155","TXR9-0903",1,48.27,1.23243988
"156","WIRF-0002",1,67.42,0.895855532
"157","ORR9-0912",1,9.13,0.398263408
"158","NVS9-0926",1,60.8,1.084677547
"159","OHS9-0920",1,11.95,0.482036933
"160","OKR9-0908",1,5.13,0.366756798
"161","OKR9-0911",1,41.65,1.310950791
"162","SDSS-1191",1,4.77,0.509395093
"163","KYSS-1080",1,26,0.651590218
"164","VTS9-0917",1,50.65,1.032954614
"165","VARF-0004",1,72.33,1.272648359
"166","MNS9-0932",1,15.72,0.834691367
"167","TXS9-0940",1,16.45,0.561141932
"168","MDRM-1004",1,40.92,0.72392227
"169","LAR9-0915",1,22.42,0.64485554
"170","COLS-1060",1,28.33,0.772327228
"171","MTLS-1140",1,60.35,1.429883644
"172","ALS9-0919",1,42.25,0.83304246
"173","COS9-0928",1,43.25,0.840027961
"174","KSRF-0003",1,35.75,1.167417444
"175","COLS-1064",1,51.52,1.109790024
"176","MIS9-0934",1,2.43,0.835213384
"177","UTR9-0904",1,7.48,0.455987614
"178","LALS-1038",1,16.57,0.563222008
"179","MIRF-0001",1,57.05,1.194653665
"180","NHS9-0912",1,22.23,0.62879911
"181","MNS9-0935",1,26.38,1.236503562
"182","ORS9-0932",1,65.25,1.183708719
"183","ARRO-1021",1,49.93,0.731200325
"184","NVLS-1046",1,35.22,0.666299255
"185","INSS-1089",1,32.5,0.838106348
"186","MIS9-0924",1,0,0.353338173
"187","WIRF-0003",1,33.85,0.728215302
"188","ALRM-1003",1,63.67,1.132245154
"189","COR9-0901",1,34.42,0.642183233
"190","OHRM-1005",1,9.95,0.30563268
"191","WALS-1072",1,44.02,0.897159669
"192","ALS9-0922",1,31.02,0.802071224
"193","MDS9-0914",2,22.77,1.227925047
"194","OHSS-1123",1,24.6,0.871822107
"195","NES9-0928",1,44.3,0.537437808
"196","OKR9-0902",1,29.28,0.819328871
"197","WAS9-0918",1,53.23,0.941823569
"198","LAS9-0944",1,21.88,0.59471314
"199","DESS-1081",1,34.68,1.108986984
"200","NES9-0934",2,18.12,0.933376242
"201","KSR9-0904",2,30.18,0.869612215
"202","ORR9-0910",1,41.98,1.222980139
"203","NDS9-0941",1,26.05,0.717486434
"204","ALRF-0003",1,74.02,1.010604514
"205","IDRM-1001",1,7.15,0.258554134
"206","IDR9-0903",1,44.88,0.839129415
"207","IDR9-0901",1,18.13,0.475728478
"208","OKR9-0906",1,11.77,0.369534152
"209","NVLS-1048",1,49.63,1.034601389
"210","NVRO-1020",1,34.22,0.854863035
"211","NJS9-0909",2,26.2,0.56793766
"212","IDRO-1034",1,53.57,1.14722713
"213","NDS9-0943",1,57.1,0.968213556
"214","NJR9-0901",2,44.65,0.793287895
"215","IDR9-0906",1,23.02,0.801908594
"216","OHS9-0915",2,19.87,0.372114354
"217","MIS9-0924",2,0.98,0.471117564
"218","OHS9-0923",1,0.55,0.195209359
